"key","value"
"EA","EAC"
"KG","KGM"
"M","MTR"
"M2","MTK"
"P","PCE"
"PC","PCE"
"PCS","PCE"
"PIECE","PCE"
"PIECE(片)","PCE"
"PR","NPR"
"PAIR","NPR"
"Y","YRD"
"YARD","YRD"
"YARDS","YRD"
"YD","YRD"
"YDS","YRD"
"YDR","YRD"
"391690","39169000008"
"391710","39171000004"
"391721","39172100001"
"391722","39172200000"
"391723","39172300009"
"391729","39172900003"
"391731","39173100009"
"391910","39191000002"
"392073","39207300003"
"392079","39207900007"
"392114","39211400004"
"392321","39232100003"
"392330","39233000002"
"392520","39252000002"
"392530","39253000000"
"392590","39259000007"
"392610","39261000003"
"392630","39263000009"
"392640","39264000007"
"400110","40011000009"
"400121","40012100006"
"400122","40012200005"
"400129","40012900008"
"400130","40013000005"
"400211","40021100007"
"400220","40022000006"
"400231","40023100003"
"400239","40023900005"
"400241","40024100001"
"400249","40024900003"
"400251","40025100008"
"400259","40025900000"
"400260","40026000007"
"400270","40027000005"
"400280","40028000003"
"400291","40029100000"
"400300","40030000009"
"400400","40040000008"
"400510","40051000005"
"400520","40052000003"
"400591","40059100007"
"400599","40059900009"
"400610","40061000004"
"400700","40070000005"
"400811","40081100001"
"400819","40081900003"
"400829","40082900001"
"401011","40101100007"
"401012","40101200006"
"401019","40101900009"
"401031","40103100003"
"401032","40103200002"
"401033","40103300001"
"401034","40103400000"
"401035","40103500009"
"401036","40103600008"
"401039","40103900005"
"401130","40113000003"
"401140","40114000001"
"401150","40115000008"
"401190","40119000000"
"401211","40121100005"
"401212","40121200004"
"401213","40121300003"
"401219","40121900007"
"401310","40131000005"
"401320","40132000003"
"401610","40161000002"
"401691","40169100004"
"401692","40169200003"
"401694","40169400001"
"401695","40169500000"
"410150","41015000009"
"410190","41019000001"
"410210","41021000007"
"410221","41022100004"
"410330","41033000002"
"410510","41051000004"
"410530","41053000000"
"410621","41062100000"
"410622","41062200009"
"410632","41063200007"
"410692","41069200004"
"410791","41079100004"
"410792","41079200003"
"410799","41079900006"
"411200","41120000007"
"411310","41131000004"
"411320","41132000002"
"411330","41133000000"
"411390","41139000007"
"411410","41141000003"
"411420","41142000001"
"411510","41151000002"
"411520","41152000000"
"420211","42021100005"
"420219","42021900007"
"420221","42022100003"
"420229","42022900005"
"420231","42023100001"
"420239","42023900003"
"420310","42031000005"
"420329","42032900004"
"420340","42034000009"
"430110","43011000006"
"430130","43013000002"
"430160","43016000005"
"430211","43021100004"
"430400","43040000005"
"440121","44012100002"
"440122","44012200001"
"440131","44013100000"
"440132","44013200009"
"440141","44014100008"
"440210","44021000004"
"440220","44022000002"
"440290","44029000007"
"440321","44032100000"
"440322","44032200009"
"440341","44034100006"
"440342","44034200005"
"440391","44039100005"
"440393","44039300003"
"440394","44039400002"
"440395","44039500001"
"440396","44039600000"
"440397","44039700009"
"440398","44039800008"
"440410","44041000002"
"440420","44042000000"
"440611","44061100009"
"440612","44061200008"
"440691","44069100002"
"440692","44069200001"
"440711","44071100008"
"440713","44071300006"
"440714","44071400005"
"440721","44072100006"
"440722","44072200005"
"440723","44072300004"
"440725","44072500002"
"440726","44072600001"
"440727","44072700000"
"440728","44072800009"
"440791","44079100001"
"440792","44079200000"
"440793","44079300009"
"440794","44079400008"
